Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Category,Product,Quantity,Unit_Price,Discount,Payment_Method,Rating
1001,2026-01-05,C001,Rahul,Male,28,Hyderabad,Telangana,Electronics,Wireless Mouse,2,799,10,UPI,4
1002,2026-01-06,C002,Priya,Female,32,Bengaluru,Karnataka,Fashion,T-Shirt,3,499,5,Credit Card,5
1003,2026-01-07,C003,Amit,Male,24,Mumbai,Maharashtra,Groceries,Rice Bag,1,1200,0,Cash,4
1004,2026-01-08,C004,Neha,Female,29,Chennai,Tamil Nadu,Beauty,Face Wash,2,250,15,Debit Card,3
1005,2026-01-09,C005,Vikram,Male,35,Delhi,Delhi,Electronics,Headphones,1,1999,20,UPI,5
1006,2026-01-10,C006,Sneha,Female,27,Pune,Maharashtra,Fashion,Jeans,2,1499,10,Credit Card,4
1007,2026-01-11,C007,Arjun,Male,31,Hyderabad,Telangana,Home,Water Bottle,4,299,5,Cash,4
1008,2026-01-12,C008,Kavya,Female,26,Vijayawada,Andhra Pradesh,Electronics,Smart Watch,1,4999,15,UPI,5
1009,2026-01-13,C009,Rohit,Male,30,Kolkata,West Bengal,Groceries,Cooking Oil,3,350,0,Debit Card,3
1010,2026-01-14,C010,Ananya,Female,23,Visakhapatnam,Andhra Pradesh,Fashion,Sneakers,1,2499,10,Credit Card,5
1011,2026-01-15,C011,Kiran,Male,40,Hyderabad,Telangana,Electronics,Bluetooth Speaker,2,2999,25,UPI,4
1012,2026-01-16,C012,Divya,Female,34,Bengaluru,Karnataka,Beauty,Shampoo,3,450,5,Cash,4
1013,2026-01-17,C013,Suresh,Male,38,Chennai,Tamil Nadu,Home,LED Bulb,5,199,0,Debit Card,3
1014,2026-01-18,C014,Pooja,Female,25,Mumbai,Maharashtra,Fashion,Handbag,1,1799,20,Credit Card,5
1015,2026-01-19,C015,Ramesh,Male,45,Delhi,Delhi,Groceries,Sugar,2,80,0,UPI,4
1016,2026-01-20,C016,Meena,Female,29,Pune,Maharashtra,Beauty,Perfume,1,1599,10,Debit Card,5
1017,2026-01-21,C017,Ajay,Male,33,Hyderabad,Telangana,Electronics,Keyboard,2,1299,5,Credit Card,4
1018,2026-01-22,C018,Lakshmi,Female,37,Vijayawada,Andhra Pradesh,Home,Pressure Cooker,1,2499,15,Cash,5
1019,2026-01-23,C019,Nitin,Male,26,Kolkata,West Bengal,Fashion,Jacket,1,2999,20,UPI,4
1020,2026-01-24,C020,Shreya,Female,31,Visakhapatnam,Andhra Pradesh,Electronics,Power Bank,2,999,10,Debit Card,5
